campaign,id,opened,clicked,purchased,dollars,unsub
A,1016,0,0,0,0,0
A,1019,0,0,0,0,0
A,1037,0,0,0,0,0
A,1043,0,0,0,0,1
A,1058,1,0,0,0,0
A,1059,0,0,0,0,0
A,1070,0,0,0,0,0
A,1088,1,0,0,0,0
A,1101,0,0,0,0,0
A,1110,1,0,0,0,0
A,1118,1,0,0,0,0
A,1119,0,0,0,0,1
A,1126,0,0,0,0,0
A,1133,1,0,0,0,0
A,1138,1,0,0,0,0
A,1142,0,0,0,0,0
A,1158,0,0,0,0,0
A,1163,0,0,0,0,0
A,1168,1,0,0,0,0
A,1196,0,0,0,0,0
A,1201,0,0,0,0,0
A,1214,0,0,0,0,0
A,1216,0,0,0,0,0
A,1231,0,0,0,0,1
A,1238,0,0,0,0,0
A,1243,1,0,0,0,0
A,1244,0,0,0,0,0
A,1260,1,0,0,0,0
A,1262,0,0,0,0,0
A,1273,1,0,0,0,0
A,1280,0,0,0,0,0
A,1298,0,0,0,0,0
A,1310,0,0,0,0,0
A,1314,0,0,0,0,0
A,1327,0,0,0,0,0
A,1331,0,0,0,0,0
A,1341,0,0,0,0,0
A,1359,1,0,0,0,0
A,1361,1,0,0,0,0
A,1362,1,0,0,0,0
A,1382,1,0,0,0,0
A,1385,1,0,0,0,0
A,1389,1,0,0,0,0
A,1396,0,0,0,0,0
A,1401,0,0,0,0,0
A,1412,0,0,0,0,0
A,1427,0,0,0,0,1
A,1445,0,0,0,0,1
A,1451,0,0,0,0,0
A,1456,1,0,0,0,0
A,1457,0,0,0,0,0
A,1466,1,0,0,0,0
A,1472,0,0,0,0,0
A,1478,1,0,0,0,0
A,1483,0,0,0,0,0
A,1491,1,0,0,0,0
A,1546,0,0,0,0,1
A,1551,1,0,0,0,0
A,1557,1,0,0,0,0
A,1559,0,0,0,0,0
A,1563,0,0,0,0,0
A,1583,1,0,0,0,0
A,1615,0,0,0,0,0
A,1626,1,1,1,68.99,0
A,1640,1,0,0,0,0
A,1652,0,0,0,0,0
A,1653,0,0,0,0,0
A,1654,0,0,0,0,1
A,1666,1,0,0,0,0
A,1684,1,0,0,0,0
A,1686,0,0,0,0,0
A,1695,0,0,0,0,0
A,1701,1,0,0,0,0
A,1710,1,0,0,0,0
A,1718,1,0,0,0,0
A,1721,0,0,0,0,0
A,1726,1,0,0,0,0
A,1737,0,0,0,0,0
A,1742,0,0,0,0,0
A,1744,0,0,0,0,0
A,1763,0,0,0,0,0
A,1789,0,0,0,0,0
A,1793,0,0,0,0,0
A,1800,0,0,0,0,0
A,1809,0,0,0,0,0
A,1810,1,0,0,0,0
A,1815,1,0,0,0,0
A,1818,0,0,0,0,0
A,1827,1,0,0,0,0
A,1834,1,0,0,0,0
A,1838,1,0,0,0,0
A,1846,0,0,0,0,0
A,1852,0,0,0,0,1
A,1899,1,0,0,0,0
A,1901,0,0,0,0,0
A,1910,0,0,0,0,1
A,1913,0,0,0,0,0
A,1914,0,0,0,0,0
A,1915,1,0,0,0,0
A,1919,1,0,0,0,0
A,1923,0,0,0,0,0
A,1925,0,0,0,0,0
A,1926,0,0,0,0,0
A,1929,0,0,0,0,0
A,1942,0,0,0,0,0
A,1946,1,0,0,0,0
A,1948,1,0,0,0,0
A,1952,1,0,0,0,0
A,1953,0,0,0,0,0
A,1961,1,0,0,0,0
A,1965,0,0,0,0,0
A,1968,0,0,0,0,0
A,1979,1,0,0,0,0
A,1980,0,0,0,0,0
A,1990,0,0,0,0,0
A,1995,0,0,0,0,0
A,2015,0,0,0,0,0
A,2020,1,0,0,0,0
A,2029,0,0,0,0,0
A,2061,1,0,0,0,0
A,2064,1,0,0,0,0
A,2067,0,0,0,0,0
A,2070,1,0,0,0,0
A,2073,1,0,0,0,0
A,2080,1,0,0,0,0
A,2082,0,0,0,0,0
A,2084,1,0,0,0,0
A,2096,0,0,0,0,0
A,2097,1,0,0,0,0
A,2113,1,0,0,0,0
A,2121,0,0,0,0,0
A,2143,0,0,0,0,0
A,2155,1,0,0,0,0
A,2157,1,0,0,0,0
A,2185,0,0,0,0,0
A,2187,0,0,0,0,0
A,2200,0,0,0,0,0
A,2202,1,0,0,0,0
A,2207,0,0,0,0,0
A,2212,0,0,0,0,0
A,2241,1,1,0,0,0
A,2260,1,0,0,0,0
A,2300,0,0,0,0,0
A,2307,1,0,0,0,0
A,2310,1,0,0,0,0
A,2319,1,0,0,0,0
A,2327,0,0,0,0,0
A,2337,0,0,0,0,0
A,2344,0,0,0,0,0
A,2345,0,0,0,0,0
A,2358,1,0,0,0,0
A,2359,1,0,0,0,0
A,2367,1,0,0,0,0
A,2374,0,0,0,0,0
A,2379,1,0,0,0,0
A,2407,0,0,0,0,0
A,2439,0,0,0,0,0
A,2443,0,0,0,0,0
A,2456,1,0,0,0,0
A,2460,0,0,0,0,0
A,2466,0,0,0,0,0
A,2475,0,0,0,0,0
A,2489,1,0,0,0,0
A,2490,1,0,0,0,0
A,2494,1,0,0,0,0
A,2530,0,0,0,0,0
A,2532,0,0,0,0,0
A,2545,0,0,0,0,0
A,2547,1,0,0,0,0
A,2549,1,0,0,0,0
A,2555,0,0,0,0,0
A,2556,0,0,0,0,0
A,2557,1,0,0,0,0
A,2565,1,0,0,0,0
A,2579,0,0,0,0,0
A,2590,0,0,0,0,0
A,2595,0,0,0,0,0
A,2602,0,0,0,0,0
A,2616,0,0,0,0,0
A,2629,1,0,0,0,0
A,2632,1,0,0,0,0
A,2643,1,0,0,0,0
A,2644,0,0,0,0,0
A,2663,0,0,0,0,0
A,2665,1,0,0,0,0
A,2666,0,0,0,0,0
A,2676,0,0,0,0,0
A,2681,0,0,0,0,0
A,2683,0,0,0,0,1
A,2686,0,0,0,0,0
A,2691,0,0,0,0,0
A,2694,0,0,0,0,0
A,2713,0,0,0,0,0
A,2749,0,0,0,0,0
A,2752,0,0,0,0,0
A,2757,0,0,0,0,0
A,2773,1,0,0,0,0
A,2774,0,0,0,0,0
A,2780,1,0,0,0,0
A,2783,1,0,0,0,0
A,2785,0,0,0,0,0
A,2791,0,0,0,0,0
A,2811,0,0,0,0,0
A,2815,0,0,0,0,0
A,2818,0,0,0,0,0
A,2833,1,0,0,0,0
A,2851,1,0,0,0,0
A,2854,0,0,0,0,1
A,2863,1,0,0,0,0
A,2869,0,0,0,0,0
A,2870,0,0,0,0,0
A,2882,0,0,0,0,0
A,2902,0,0,0,0,0
A,2922,1,0,0,0,0
A,2927,1,0,0,0,0
A,2935,0,0,0,0,1
A,2955,0,0,0,0,0
A,2959,1,0,0,0,0
A,2963,1,0,0,0,0
A,2965,0,0,0,0,0
A,2983,1,0,0,0,0
A,2984,1,0,0,0,0
A,3027,0,0,0,0,0
A,3031,1,0,0,0,0
A,3033,0,0,0,0,0
A,3036,0,0,0,0,0
A,3052,0,0,0,0,1
A,3070,0,0,0,0,0
A,3087,0,0,0,0,0
A,3092,1,1,0,0,0
A,3093,0,0,0,0,0
