campaign ,id,opened,clicked,purchased,dollars,unsub
B,1027,0,0,0,0,0
B,1029,1,0,0,0,0
B,1034,1,0,0,0,0
B,1040,1,1,1,25.99,0
B,1042,1,0,0,0,0
B,1052,1,0,0,0,0
B,1069,0,0,0,0,0
B,1089,1,0,0,0,0
B,1094,1,0,0,0,0
B,1112,0,0,0,0,0
B,1123,0,0,0,0,0
B,1125,1,0,0,0,0
B,1132,0,0,0,0,0
B,1146,0,0,0,0,0
B,1149,1,0,0,0,0
B,1152,1,0,0,0,0
B,1153,0,0,0,0,0
B,1176,0,0,0,0,0
B,1188,0,0,0,0,0
B,1194,1,0,0,0,0
B,1212,0,0,0,0,0
B,1217,0,0,0,0,0
B,1220,1,0,0,0,0
B,1225,0,0,0,0,0
B,1232,0,0,0,0,0
B,1242,1,0,0,0,0
B,1246,0,0,0,0,0
B,1253,1,0,0,0,0
B,1264,0,0,0,0,0
B,1275,1,0,0,0,0
B,1277,1,0,0,0,0
B,1281,0,0,0,0,0
B,1282,1,0,0,0,0
B,1288,1,0,0,0,0
B,1297,1,0,0,0,0
B,1303,0,0,0,0,0
B,1305,1,0,0,0,0
B,1311,1,0,0,0,0
B,1318,0,0,0,0,0
B,1321,1,0,0,0,0
B,1336,0,0,0,0,0
B,1339,0,0,0,0,0
B,1357,0,0,0,0,0
B,1367,0,0,0,0,0
B,1371,0,0,0,0,0
B,1372,0,0,0,0,0
B,1375,0,0,0,0,0
B,1384,0,0,0,0,1
B,1387,0,0,0,0,1
B,1390,1,0,0,0,0
B,1392,1,0,0,0,0
B,1403,1,0,0,0,0
B,1408,1,0,0,0,0
B,1417,1,0,0,0,0
B,1419,1,0,0,0,0
B,1436,0,0,0,0,0
B,1437,0,0,0,0,0
B,1455,0,0,0,0,0
B,1467,1,1,1,7.99,0
B,1474,1,0,0,0,0
B,1484,0,0,0,0,0
B,1502,1,0,0,0,0
B,1507,1,0,0,0,0
B,1517,0,0,0,0,0
B,1520,1,0,0,0,0
B,1537,1,0,0,0,0
B,1554,0,0,0,0,0
B,1564,1,1,1,28.99,0
B,1568,0,0,0,0,0
B,1577,0,0,0,0,0
B,1582,1,0,0,0,0
B,1588,1,0,0,0,0
B,1599,0,0,0,0,0
B,1601,0,0,0,0,0
B,1608,1,0,0,0,0
B,1609,1,0,0,0,0
B,1630,0,0,0,0,0
B,1632,1,0,0,0,0
B,1633,1,0,0,0,0
B,1642,0,0,0,0,0
B,1662,1,0,0,0,0
B,1675,0,0,0,0,1
B,1676,0,0,0,0,0
B,1680,0,0,0,0,0
B,1690,0,0,0,0,0
B,1698,1,0,0,0,0
B,1699,0,0,0,0,1
B,1703,1,0,0,0,0
B,1720,0,0,0,0,0
B,1741,1,0,0,0,0
B,1750,1,0,0,0,0
B,1758,0,0,0,0,0
B,1767,1,0,0,0,0
B,1768,0,0,0,0,0
B,1772,0,0,0,0,0
B,1795,0,0,0,0,1
B,1802,1,0,0,0,0
B,1804,1,0,0,0,0
B,1821,1,0,0,0,0
B,1822,1,0,0,0,0
B,1835,0,0,0,0,0
B,1840,1,0,0,0,0
B,1848,1,0,0,0,0
B,1858,1,0,0,0,0
B,1859,0,0,0,0,0
B,1862,1,0,0,0,0
B,1864,1,0,0,0,0
B,1888,1,0,0,0,0
B,1907,1,0,0,0,0
B,1916,0,0,0,0,0
B,1931,0,0,0,0,1
B,1932,0,0,0,0,0
B,1955,1,0,0,0,0
B,1972,1,0,0,0,0
B,1974,0,0,0,0,0
B,1984,1,0,0,0,0
B,2019,1,0,0,0,0
B,2021,0,0,0,0,0
B,2022,1,0,0,0,0
B,2032,1,0,0,0,0
B,2041,1,0,0,0,0
B,2051,0,0,0,0,0
B,2066,0,0,0,0,0
B,2077,1,0,0,0,0
B,2085,0,0,0,0,0
B,2086,0,0,0,0,0
B,2095,0,0,0,0,0
B,2098,1,0,0,0,0
B,2115,1,0,0,0,0
B,2122,0,0,0,0,0
B,2131,1,0,0,0,0
B,2133,0,0,0,0,0
B,2145,0,0,0,0,0
B,2147,0,0,0,0,0
B,2150,0,0,0,0,0
B,2168,0,0,0,0,0
B,2175,0,0,0,0,0
B,2195,0,0,0,0,0
B,2201,0,0,0,0,0
B,2211,0,0,0,0,0
B,2216,0,0,0,0,0
B,2221,0,0,0,0,0
B,2226,1,0,0,0,0
B,2236,0,0,0,0,0
B,2247,0,0,0,0,0
B,2255,0,0,0,0,0
B,2257,0,0,0,0,0
B,2267,1,0,0,0,0
B,2268,0,0,0,0,0
B,2270,0,0,0,0,1
B,2277,0,0,0,0,0
B,2283,1,0,0,0,0
B,2292,1,0,0,0,0
B,2294,1,0,0,0,0
B,2295,0,0,0,0,0
B,2302,1,0,0,0,0
B,2317,0,0,0,0,0
B,2318,0,0,0,0,0
B,2330,1,0,0,0,0
B,2332,0,0,0,0,0
B,2333,1,0,0,0,0
B,2338,1,0,0,0,0
B,2347,0,0,0,0,0
B,2360,0,0,0,0,0
B,2362,0,0,0,0,0
B,2368,0,0,0,0,0
B,2372,0,0,0,0,0
B,2380,0,0,0,0,0
B,2387,0,0,0,0,0
B,2391,0,0,0,0,0
B,2397,1,0,0,0,0
B,2403,0,0,0,0,0
B,2417,0,0,0,0,0
B,2454,0,0,0,0,0
B,2470,0,0,0,0,0
B,2478,1,0,0,0,0
B,2483,1,0,0,0,0
B,2486,1,0,0,0,0
B,2505,0,0,0,0,0
B,2506,1,0,0,0,0
B,2529,0,0,0,0,0
B,2542,0,0,0,0,0
B,2544,0,0,0,0,0
B,2546,0,0,0,0,0
B,2558,0,0,0,0,0
B,2575,0,0,0,0,0
B,2581,1,0,0,0,0
B,2593,0,0,0,0,0
B,2594,0,0,0,0,0
B,2610,0,0,0,0,0
B,2617,0,0,0,0,0
B,2619,1,0,0,0,0
B,2631,0,0,0,0,0
B,2633,1,0,0,0,0
B,2634,0,0,0,0,0
